champs,event_code,discipline,sex,constraint,place,ATHLETE,COUNTRY,RESULT,clesnsed_result,resultscore,
WC_2023,3000mSC,3000 Metres Steeplechase,M,time,9,Daniel ARCE,ESP,8:18.31,498.31,1174,
WC_2023,3000mSC,3000 Metres Steeplechase,M,time,10,Kenneth ROOKS,USA,8:20.02,500.02,1166,
WC_2023,3000mSC,3000 Metres Steeplechase,M,time,11,Getnet WALE,ETH,8:21.03,501.03,1162,
WC_2023,3000mSC,3000 Metres Steeplechase,M,time,12,Leonard CHEMUTAI,UGA,8:21.61,502.61,1155,
WC_2023,20kmW,20 Kilometres Race Walk,M,time,1,Álvaro MARTÍN,ESP,1:17:32,4652.00,1245,
WC_2023,20kmW,20 Kilometres Race Walk,M,time,2,Perseus KARLSTRÖM,SWE,1:17:39,4659.00,1242,
WC_2023,20kmW,20 Kilometres Race Walk,M,time,3,Caio BONFIM,BRA,1:17:47,4667.00,1239,
WC_2023,20kmW,20 Kilometres Race Walk,M,time,4,Evan DUNFEE,CAN,1:18:03,4683.00,1233,
WC_2023,20kmW,20 Kilometres Race Walk,M,time,5,Christopher LINKE,GER,1:18:12,4692.00,1230,
WC_2023,20kmW,20 Kilometres Race Walk,M,time,6,Veli-Matti PARTANEN,FIN,1:18:22,4702.00,1227,
WC_2023,20kmW,20 Kilometres Race Walk,M,time,7,Brian Daniel PINTADO,ECU,1:18:26,4706.00,1225,
WC_2023,20kmW,20 Kilometres Race Walk,M,time,8,Declan TINGAY,AUS,1:18:30,4710.00,1224,
WC_2023,20kmW,20 Kilometres Race Walk,M,time,9,Samuel Kireri GATHIMBA,KEN,1:18:34,4714.00,1222,
WC_2023,20kmW,20 Kilometres Race Walk,M,time,10,Gabriel BORDIER,FRA,1:18:59,4739.00,1213,
WC_2023,20kmW,20 Kilometres Race Walk,M,time,11,Francesco FORTUNATO,ITA,1:19:01,4741.00,1212,
WC_2023,20kmW,20 Kilometres Race Walk,M,time,12,Yuta KOGA,JPN,1:19:02,4742.00,1212,
WC_2023,35kmW,35 Kilometres Race Walk,M,time,1,Álvaro MARTÍN,ESP,2:24:30,8670.00,1225,
WC_2023,35kmW,35 Kilometres Race Walk,M,time,2,Brian Daniel PINTADO,ECU,2:24:34,8674.00,1225,
WC_2023,35kmW,35 Kilometres Race Walk,M,time,3,Masatora KAWANO,JPN,2:25:12,8712.00,1218,
WC_2023,35kmW,35 Kilometres Race Walk,M,time,4,Evan DUNFEE,CAN,2:25:28,8728.00,1215,
WC_2023,35kmW,35 Kilometres Race Walk,M,time,5,Christopher LINKE,GER,2:25:35,8735.00,1214,
WC_2023,35kmW,35 Kilometres Race Walk,M,time,6,Tomohiro NODA,JPN,2:25:50,8750.00,1212,
WC_2023,35kmW,35 Kilometres Race Walk,M,time,7,Massimo STANO,ITA,2:25:59,8759.00,1210,
WC_2023,35kmW,35 Kilometres Race Walk,M,time,8,Perseus KARLSTRÖM,SWE,2:27:03,8823.00,1199,
WC_2023,35kmW,35 Kilometres Race Walk,M,time,9,Karl JUNGHANNß,GER,2:27:08,8828.00,1198,
WC_2023,35kmW,35 Kilometres Race Walk,M,time,10,Caio BONFIM,BRA,2:27:45,8865.00,1192,
WC_2023,35kmW,35 Kilometres Race Walk,M,time,11,Ricardo ORTIZ,MEX,2:29:14,8954.00,1177,
WC_2023,35kmW,35 Kilometres Race Walk,M,time,12,Miguel Ángel LÓPEZ,ESP,2:29:32,8972.00,1174,
WC_2023,Decathlon,Decathlon,M,points,1,Pierce LEPAGE,CAN,8909,8909.00,1268,
WC_2023,Decathlon,Decathlon,M,points,2,Damian WARNER,CAN,8804,8804.00,1251,
WC_2023,Decathlon,Decathlon,M,points,3,Lindon VICTOR,GRN,8756,8756.00,1244,
WC_2023,Decathlon,Decathlon,M,points,4,Karel TILGA,EST,8681,8681.00,1232,
WC_2023,Decathlon,Decathlon,M,points,5,Leo NEUGEBAUER,GER,8645,8645.00,1226,
WC_2023,Decathlon,Decathlon,M,points,6,Janek ÕIGLANE,EST,8524,8524.00,1208,
WC_2023,Decathlon,Decathlon,M,points,7,Harrison WILLIAMS,USA,8500,8500.00,1204,
WC_2023,Decathlon,Decathlon,M,points,8,Markus ROOTH,NOR,8491,8491.00,1202,
WC_2023,Decathlon,Decathlon,M,points,9,Johannes ERM,EST,8484,8484.00,1201,
WC_2023,Decathlon,Decathlon,M,points,10,Sander SKOTHEIM,NOR,8263,8263.00,1167,
WC_2023,Decathlon,Decathlon,M,points,11,Manuel EITEL,GER,8191,8191.00,1156,
